id,dia,bairro,quartos,banheiros,suites,garagens,area,valor
422,2018-04-02,Edgar Pereira ,2,0,0,1,0,155000
423,2018-04-02,Edgar Pereira ,2,0,0,1,0,0
424,2018-04-02,Planalto ,3,0,1,1,0,190000
425,2018-04-02,Ibituruna ,2,0,1,2,0,270000
426,2018-04-02,Cândida Câmara ,3,0,1,0,0,381150
427,2018-04-02,Ibituruna ,3,0,1,2,0,330000
428,2018-04-02,Augusta Mota ,3,0,1,2,0,550000
429,2018-04-02,Ibituruna ,3,0,1,2,0,260000
430,2018-04-02,Ibituruna ,3,0,1,2,0,340000
431,2018-04-02,Todos os Santos ,3,0,1,0,0,459372.26
432,2018-04-02,Morada do Sol ,3,0,2,2,0,400000
433,2018-04-02,Jardim São Luiz ,4,0,2,3,0,1150000
434,2018-04-02,Centro ,3,0,1,2,0,480000
435,2018-04-02,Morada do Sol ,3,0,1,2,0,570000
436,2018-04-02,Todos os Santos ,3,0,1,0,0,362000
437,2018-04-02,Melo ,4,0,1,3,0,657382.63
438,2018-04-02,Ibituruna ,2,0,1,1,0,200000
439,2018-04-02,Centro ,3,0,1,2,0,650000
440,2018-04-02,São José ,3,0,1,2,0,330000
441,2018-04-02,Jardim São Luiz ,4,0,2,3,0,777862.91
442,2018-04-02,Ibituruna ,3,0,1,2,0,320000
443,2018-04-02,Morada do Sol ,2,0,1,1,0,270000
444,2018-04-02,Centro ,3,0,1,0,0,390000
445,2018-04-02,Todos os Santos ,4,0,2,0,0,790000
446,2018-04-02,Cidade Santa Maria ,3,0,1,2,0,500000
447,2018-04-02,Todos os Santos ,2,0,1,0,0,310680
448,2018-04-02,Todos os Santos ,4,0,1,0,0,465676
449,2018-04-02,Augusta Mota ,3,0,1,0,0,450000
450,2018-04-02,Cândida Câmara ,3,0,1,2,0,320000
451,2018-04-02,Ibituruna ,3,0,1,1,0,290000
452,2018-04-02,Ibituruna ,3,0,1,2,0,270000
453,2018-04-02,Cândida Câmara ,3,0,1,2,0,420000
454,2018-04-02,Ibituruna ,2,0,1,0,0,219000
455,2018-04-02,Augusta Mota ,2,0,1,0,0,270000
456,2018-04-02,Ibituruna ,3,0,1,3,0,340000
457,2018-04-02,Ibituruna ,2,0,0,1,0,198000
458,2018-04-02,Ibituruna ,3,0,1,2,0,260000
459,2018-04-02,Morada do Sol ,3,0,1,2,0,450000
460,2018-04-02,Ibituruna ,3,0,1,0,0,320000
461,2018-04-02,Morada da Serra ,2,0,0,0,0,165000
462,2018-04-02,Morada do Sol ,3,0,2,2,0,630000
463,2018-04-02,Cândida Câmara ,3,0,1,1,0,360000
464,2018-04-02,Ibituruna ,4,0,1,2,0,650000
465,2018-04-02,Cidade Santa Maria ,3,0,3,2,0,700000
466,2018-04-02,Augusta Mota ,3,0,1,2,0,280000
467,2018-04-02,Cândida Câmara ,3,0,1,2,0,410000
468,2018-04-02,Belvedere ,2,0,0,1,0,100000
469,2018-04-02,Morada do Parque ,3,0,1,1,0,200000
470,2018-04-02,Funcionários ,3,0,1,1,0,315000
471,2018-04-02,Ibituruna ,2,0,0,1,0,202000
472,2018-04-02,Morada do Parque ,3,0,0,2,0,280000
473,2018-04-02,Lourdes ,3,0,1,2,0,300000
474,2018-04-02,Ibituruna ,3,0,1,1,0,330000
475,2018-04-02,Cidade Nova ,2,0,0,1,0,230000
476,2018-04-02,Morada do Sol ,3,0,1,2,0,340000
477,2018-04-02,Ibituruna ,3,0,1,3,0,480000
478,2018-04-02,Canelas ,2,0,1,1,0,200000
479,2018-04-02,Centro ,3,0,1,2,0,330000
480,2018-04-02,Augusta Mota ,3,0,1,1,0,260000
481,2018-04-02,Morada do Sol ,3,0,2,2,0,440000
482,2018-04-02,Cândida Câmara ,3,0,1,2,0,370000
483,2018-04-02,Morada do Sol ,3,0,1,1,0,450000
484,2018-04-02,Melo ,3,0,1,2,0,650000
485,2018-04-02,Morada do Sol ,2,0,1,1,0,250000
486,2018-04-02,Cândida Câmara ,3,0,1,1,0,400000
487,2018-04-02,Cândida Câmara ,3,0,1,0,0,410000
488,2018-04-02,Morada do Sol ,3,0,1,2,0,360000
489,2018-04-02,Ibituruna ,2,0,0,1,0,193000
490,2018-04-02,Cândida Câmara ,3,0,1,0,0,380000
491,2018-04-02,Ibituruna ,3,0,1,1,0,420000
492,2018-04-02,Centro ,3,0,1,2,0,450000
493,2018-04-02,Centro ,2,0,1,1,0,240000
