bairro
Alice Maia
Alto Da Boa Vista
Alto Sao Joao 
Amazonas
Augusta Mota
Barcelona Park
Belvedere
Candida Camara
Canelas 
Canelas I 
Canelas II 
Centro 
Cidade Nova 
Cidade Santa Maria 
Cintra
Conjunto Residencial Jk 
Edgar Pereira 
Funcionarios 
Ibituruna
Jaragua I
Jardim Liberdade
Jardim Palmeiras
Jardim Panorama 
Jardim Primavera
Jardim Sao Geraldo
Jardim Sao Luiz
Joao Alves
Joao Gordo
Lourdes 
Major Prates
Maracana
Melo 
Monte Alegre
Morada Da Serra 
Morada Do Parque
Morada Do Sol 
Morrinhos
Panorama
Panorama II
Planalto
Prolongamento Todos Os Santos
Roxo Verde
Sagrada Familia
Santa Laura 
Santa Rita
Sao Geraldo 
Sao Jose 
Sao Judas Tadeu
Sao Mateus 
Todos Os Santos
Vila Atlantida
Vila Brasilia
Vila Guilhermina 
Vila Ipiranga 
Vila Mauriceia
Vila Regina
