bairro,quantidade
Ibituruna,84
Morada Do Sol,50
Centro,43
Candida Camara,22
Augusta Mota,22
Melo,17
Todos Os Santos,14
Sao Jose,14
Cidade Santa Maria,10
Sao Mateus,10
Vila Brasilia,9
Morada Do Parque,9
Edgar Pereira,8
Jardim Liberdade,7
Cidade Nova,6
Jardim Panorama,5
Alice Maia,5
Morada Da Serra,5
Jardim Sao Luiz,4
Maracana,4
Canelas I,3
Vila Guilhermina,3
Planalto,3
Jardim Palmeiras,3
Funcionarios,2
Santa Rita,2
Lourdes,2
Canelas,1
Vila Ipiranga,1
Panorama,1
Prolongamento Todos Os Santos,1
