Profundidade, Média Validação Cruzada, Desvio-Padrão Validação Cruzada, Média Erro Absoluto, R², Variância Explicada
5 , 0.768362455808 , 0.123044856645 , 51808.8672983 , 0.514555439853 , 0.5269266636
10 , 0.762365949483 , 0.155634616943 , 37086.1571437 , 0.573877473033 , 0.582202166214
15 , 0.776940838071 , 0.139831221186 , 35937.0778088 , 0.580508680712 , 0.585423098607
20 , 0.779703806675 , 0.130835761141 , 32791.8568556 , 0.626537355037 , 0.636613870489
25 , 0.771455968399 , 0.150624449322 , 36885.1404377 , 0.54089828831 , 0.546244714712
30 , 0.762650096457 , 0.160064087203 , 37422.4538706 , 0.541425186109 , 0.54705265337
35 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
40 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
45 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
50 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
55 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
60 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
65 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
70 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
75 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
80 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
85 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
90 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
95 , 0.777300969337 , 0.15097055261 , 37422.4538706 , 0.541425186109 , 0.54705265337
