id,dia,bairro,quartos,banheiros,suites,garagens,area,valor
561,2018-04-18,Edgar Pereira ,2,0,0,1,0,155000
562,2018-04-18,Edgar Pereira ,2,0,0,1,0,0
563,2018-04-18,Planalto ,3,0,1,1,0,190000
564,2018-04-18,Ibituruna ,2,0,1,2,0,270000
565,2018-04-18,Cândida Câmara ,3,0,1,0,0,381150
566,2018-04-18,Ibituruna ,3,0,1,2,0,330000
567,2018-04-18,Ibituruna ,3,0,1,2,0,260000
568,2018-04-18,Augusta Mota ,3,0,1,2,0,550000
569,2018-04-18,Ibituruna ,3,0,1,2,0,340000
570,2018-04-18,Todos os Santos ,3,0,1,0,0,459372.26
571,2018-04-18,Morada do Sol ,3,0,2,2,0,400000
572,2018-04-18,Jardim São Luiz ,4,0,2,3,0,1150000
573,2018-04-18,Centro ,3,0,1,2,0,480000
574,2018-04-18,Morada do Sol ,3,0,1,2,0,570000
575,2018-04-18,Todos os Santos ,3,0,1,0,0,362000
576,2018-04-18,Melo ,4,0,1,3,0,657382.63
577,2018-04-18,Centro ,3,0,1,2,0,650000
578,2018-04-18,Ibituruna ,2,0,1,1,0,200000
579,2018-04-18,São José ,3,0,1,2,0,330000
580,2018-04-18,Jardim São Luiz ,4,0,2,3,0,777862.91
581,2018-04-18,Ibituruna ,3,0,1,2,0,320000
582,2018-04-18,Morada do Sol ,2,0,1,1,0,270000
583,2018-04-18,Centro ,3,0,1,0,0,390000
584,2018-04-18,Todos os Santos ,4,0,2,0,0,790000
585,2018-04-18,Cândida Câmara ,3,0,1,2,0,320000
586,2018-04-18,Cidade Santa Maria ,3,0,1,2,0,500000
587,2018-04-18,Todos os Santos ,2,0,1,0,0,310680
588,2018-04-18,Todos os Santos ,4,0,1,0,0,465676
589,2018-04-18,Augusta Mota ,3,0,1,0,0,450000
590,2018-04-18,Ibituruna ,3,0,1,1,0,290000
591,2018-04-18,Cândida Câmara ,3,0,1,2,0,420000
592,2018-04-18,Ibituruna ,3,0,1,2,0,270000
593,2018-04-18,Ibituruna ,2,0,1,0,0,219000
594,2018-04-18,Augusta Mota ,2,0,1,0,0,270000
595,2018-04-18,Ibituruna ,3,0,1,2,0,260000
596,2018-04-18,Ibituruna ,3,0,1,3,0,340000
597,2018-04-18,Ibituruna ,2,0,0,1,0,198000
598,2018-04-18,Morada do Sol ,3,0,1,2,0,450000
599,2018-04-18,Ibituruna ,3,0,1,0,0,320000
600,2018-04-18,Morada da Serra ,2,0,0,0,0,165000
601,2018-04-18,Morada do Sol ,3,0,2,2,0,630000
602,2018-04-18,Cândida Câmara ,3,0,1,1,0,360000
603,2018-04-18,Ibituruna ,4,0,1,2,0,650000
604,2018-04-18,Cidade Santa Maria ,3,0,3,2,0,700000
605,2018-04-18,Augusta Mota ,3,0,1,2,0,280000
606,2018-04-18,Cândida Câmara ,3,0,1,2,0,410000
607,2018-04-18,Belvedere ,2,0,0,1,0,100000
608,2018-04-18,Morada do Parque ,3,0,1,1,0,200000
609,2018-04-18,Funcionários ,3,0,1,1,0,315000
610,2018-04-18,Ibituruna ,2,0,0,1,0,202000
611,2018-04-18,Morada do Parque ,3,0,0,2,0,280000
612,2018-04-18,Lourdes ,3,0,1,2,0,300000
613,2018-04-18,Canelas ,2,0,1,1,0,200000
614,2018-04-18,Cândida Câmara ,3,0,1,2,0,370000
615,2018-04-18,Ibituruna ,3,0,1,1,0,330000
616,2018-04-18,Cidade Nova ,2,0,0,1,0,230000
617,2018-04-18,Morada do Sol ,3,0,2,2,0,440000
618,2018-04-18,Morada do Sol ,3,0,1,2,0,340000
619,2018-04-18,Ibituruna ,3,0,1,3,0,480000
620,2018-04-18,Centro ,3,0,1,2,0,330000
621,2018-04-18,Augusta Mota ,3,0,1,1,0,260000
622,2018-04-18,Ibituruna ,3,0,1,1,0,240000
623,2018-04-18,Morada do Sol ,3,0,1,1,0,450000
624,2018-04-18,Melo ,3,0,1,2,0,650000
625,2018-04-18,Ibituruna ,3,0,1,1,0,420000
626,2018-04-18,Morada do Sol ,2,0,1,1,0,250000
627,2018-04-18,Cândida Câmara ,3,0,1,1,0,400000
628,2018-04-18,Cândida Câmara ,3,0,1,0,0,410000
629,2018-04-18,Morada do Sol ,3,0,1,2,0,360000
630,2018-04-18,Ibituruna ,2,0,0,1,0,193000
631,2018-04-18,Ibituruna ,3,0,1,2,0,300000
632,2018-04-18,Cândida Câmara ,3,0,1,0,0,380000
633,2018-04-18,Centro ,3,0,1,2,0,450000
634,2018-04-18,Centro ,2,0,1,1,0,240000
635,2018-04-18,Melo ,2,0,1,1,0,295000
636,2018-04-18,Ibituruna ,3,0,1,2,0,320000
637,2018-04-18,Centro ,3,0,1,2,0,520000
638,2018-04-18,Ibituruna ,2,0,1,2,0,340000
639,2018-04-18,Ibituruna ,2,0,1,1,0,215000
640,2018-04-18,Melo ,2,0,1,1,0,240000
641,2018-04-18,Augusta Mota ,2,0,0,2,0,528000
642,2018-04-18,Cândida Câmara ,3,0,1,2,0,380000
643,2018-04-18,Ibituruna ,2,0,0,1,0,195000
644,2018-04-18,Centro ,2,0,1,1,0,315000
645,2018-04-18,São Mateus ,3,0,1,2,0,260000
646,2018-04-18,Vila Brasília ,3,0,2,2,0,357000
647,2018-04-18,Ibituruna ,3,0,1,2,0,340000
648,2018-04-18,Ibituruna ,3,0,1,2,0,280000
649,2018-04-18,Ibituruna ,3,0,1,3,0,370000
650,2018-04-18,Morada do Parque ,3,0,1,1,0,160000
651,2018-04-18,Jardim Liberdade ,2,0,1,1,0,164000
652,2018-04-18,São José ,3,0,1,2,0,320000
653,2018-04-18,Morada do Sol ,2,0,1,2,0,240000
654,2018-04-18,Jardim São Luiz ,4,0,3,3,0,2000000
655,2018-04-18,Ibituruna ,3,0,1,2,0,580000
656,2018-04-18,Morada do Sol ,3,0,1,2,0,650000
657,2018-04-18,Maracanã ,3,0,1,1,0,180000
658,2018-04-18,Centro ,3,0,1,1,0,440000
659,2018-04-18,Canelas ,3,0,1,2,0,210000
660,2018-04-18,Augusta Mota ,3,0,0,2,0,270000
661,2018-04-18,São José ,2,0,0,1,0,190000
662,2018-04-18,Ibituruna ,3,0,1,2,0,320000
663,2018-04-18,Ibituruna ,2,0,0,1,0,220000
664,2018-04-18,Augusta Mota ,3,0,1,2,0,520000
665,2018-04-18,Morada do Sol ,3,0,1,2,0,300000
666,2018-04-18,Canelas ,2,0,1,1,0,175000
667,2018-04-18,Morada do Sol ,2,0,1,2,0,550000
