bairro,quantidade
Candida Camara,8
Ibituruna,6
Centro,5
Todos Os Santos,5
Jardim Sao Luiz,4
Melo,3
Vila Brasilia,3
Sao Jose,2
Funcionarios,2
Morada Do Sol,2
Jaragua I,1
Cidade Nova,1
Jardim Panorama,1
Cidade Santa Maria,1
