id,dia,bairro,quartos,banheiros,suites,garagens,area,valor
1,2018-02-18,"Augusta Mota",3,1,0,2,85,300000
2,2018-02-18,"Augusta Mota",2,1,0,1,85,320000
3,2018-02-18,"Augusta Mota",3,1,0,2,90,320000
4,2018-02-18,Ibituruna,3,2,0,2,0,10000
5,2018-02-18,"Jardim Panorama",2,2,0,1,65,215000
6,2018-02-18,"São Jose",4,3,0,1,0,285000
7,2018-02-18,"Augusta Mota",3,1,0,2,90,320000
8,2018-02-18,"Augusta Mota",3,1,0,2,90,340000
9,2018-02-18,Centro,4,5,0,2,0,750000
10,2018-02-18,Centro,3,1,0,1,0,300000
11,2018-02-18,"Cândida Câmara",4,3,0,2,176,900000
12,2018-02-18,Centro,4,3,0,2,0,600000
13,2018-02-18,Planalto,2,1,0,1,0,140000
14,2018-02-18,"Cândida Câmara",0,0,0,0,0,0
15,2018-02-18,"Morada Do Sol",3,1,0,1,0,220000
16,2018-02-18,Centro,2,1,0,1,66,300000
17,2018-02-18,Centro,3,2,0,2,0,650000
18,2018-02-18,Centro,2,1,0,1,0,190000
19,2018-02-18,"Jardim Primavera",2,1,0,1,74,120000
20,2018-02-18,Belvedere,2,1,0,1,43,130000
21,2018-02-18,"Jardim Primavera",1,1,0,1,74,120000
22,2018-02-18,Melo,3,1,0,1,0,330000
23,2018-02-18,"Vila Cidade Santa Maria",3,1,0,2,122,550000
24,2018-02-18,"Morada Do Sol",2,1,0,1,60,150000
25,2018-02-18,Melo,3,2,0,2,0,0
26,2018-02-18,Centro,3,1,0,1,0,230000
27,2018-02-18,Ibituruna,3,2,0,2,0,420000
28,2018-02-18,Centro,3,1,0,1,0,450000
29,2018-02-18,Ibituruna,2,2,0,2,115,390000
30,2018-02-18,Melo,3,1,0,2,0,640000
31,2018-02-18,Ibituruna,2,1,0,2,60,270000
32,2018-02-18,Ibituruna,3,1,0,2,83,300000
33,2018-02-18,"Augusta Mota",2,1,0,1,85,300000
34,2018-03-01,"Augusta Mota",3,1,0,2,85,300000
35,2018-03-01,"Augusta Mota",2,1,0,1,85,320000
36,2018-03-01,"Augusta Mota",3,1,0,2,90,320000
37,2018-03-01,Ibituruna,3,2,0,2,0,10000
38,2018-03-01,"Jardim Panorama",2,2,0,1,65,215000
39,2018-03-01,"São Jose",4,3,0,1,0,285000
40,2018-03-01,"Augusta Mota",3,1,0,2,90,320000
41,2018-03-01,"Augusta Mota",3,1,0,2,90,340000
42,2018-03-01,Centro,4,5,0,2,0,750000
43,2018-03-01,Centro,3,1,0,1,0,300000
44,2018-03-01,"Cândida Câmara",4,3,0,2,176,900000
45,2018-03-01,Centro,4,3,0,2,0,600000
46,2018-03-01,Planalto,2,1,0,1,0,140000
47,2018-03-01,"Cândida Câmara",0,0,0,0,0,0
48,2018-03-01,"Morada Do Sol",3,1,0,1,0,220000
49,2018-03-01,Centro,2,1,0,1,66,300000
50,2018-03-01,Centro,3,2,0,2,0,650000
51,2018-03-01,Centro,2,1,0,1,0,190000
52,2018-03-01,"Jardim Primavera",2,1,0,1,74,120000
53,2018-03-01,Belvedere,2,1,0,1,43,130000
54,2018-03-01,"Jardim Primavera",1,1,0,1,74,120000
55,2018-03-01,Melo,3,1,0,1,0,330000
56,2018-03-01,"Vila Cidade Santa Maria",3,1,0,2,122,550000
57,2018-03-01,"Morada Do Sol",2,1,0,1,60,150000
58,2018-03-01,Melo,3,2,0,2,0,0
59,2018-03-01,Centro,3,1,0,1,0,230000
60,2018-03-01,Ibituruna,3,2,0,2,0,420000
61,2018-03-01,Centro,3,1,0,1,0,450000
62,2018-03-01,Ibituruna,2,2,0,2,115,390000
63,2018-03-01,Melo,3,1,0,2,0,640000
64,2018-03-01,Ibituruna,2,1,0,2,60,270000
65,2018-03-01,Ibituruna,3,1,0,2,83,300000
66,2018-03-01,"Augusta Mota",2,1,0,1,85,300000
